companyName,branchName,homepage,prefecture,address,phoneNumber,fax,mailAddress,category1,category2,site,source
日進工業株式会社,,http://www.nissink.co.jp/,山口県,山口県下松市平田443番地,0833-41-0679,,saiyo@nissink.co.jp,技術（建築・土木）,プラント,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002381920/
六ヶ所エンジニアリング株式会社,,http://www.r-e-c.co.jp,青森県,青森県上北郡六ケ所村尾駮字上尾駮22-258,0175-73-2277,,yusuke_kacchi@r-e-c.co.jp,技術（建築・土木）,プラント,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002440009/
三菱マテリアル電子化成株式会社,,http://www.mmc-ec.co.jp,秋田県,秋田県秋田市茨島三丁目1番6号,018-864-6011,,yarinome@mmc.co.jp,技術（建築・土木）,プラント,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002440088/
パワーテックテクノロジー秋田株式会社(パワーテックテクノロジーグループ),,http://www.pti-akita.com,秋田県,秋田県秋田市雄和石田字山田89番地2,018-886-2011,,hr@pti-akita.com,技術（電気・電子・機械）,プロセスエンジニア（半導体・太陽光・液晶・LEDなど）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002494113/
株式会社ランダルコーポレーション,,http://www.lundal.co.jp/,埼玉県,埼玉県朝霞市西原1-7-1,048-475-3661,,honma-a@lundal.co.jp,営業,医療営業,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002475281/
株式会社エコーパートナーズ,,http://www.echo-inc.co.jp/,千葉県,千葉県成田市美郷台3-16-5,0476-24-2424,,info@echo-inc.co.jp,販売・サービス,運輸・物流サービス,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002507362/
石川可鍛製鉄株式会社,,http://www.ishikawakatan.co.jp,石川県,石川県かほく市宇気い9番地,076-283-2128,,terade@ishikawakatan.co.jp,企画・事務・マーケティング・管理,営業事務・一般事務,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002382084/
株式会社ザックス,,http://www.zax.co.jp,青森県,青森県下北郡東通村大字田屋字上流11-1,0175-27-2700,,support@zax.co.jp,企画・事務・マーケティング・管理,営業事務・一般事務,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002423792/
ＥＩＺＯ株式会社,,http://www.eizo.co.jp/,石川県,石川県白山市下柏野153番地,076-274-2910,,recruit@eizo.com,技術（電気・電子・機械）,回路設計,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328760/
株式会社リニア・サーキット,,http://www.linear.co.jp,石川県,石川県金沢市間明町2丁目2番地,076-256-0741,,saiyo@linear.co.jp,技術（電気・電子・機械）,回路設計,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002365677/
山陽精工株式会社,,http://www.sanyoseiko.co.jp,山梨県,山梨県大月市猿橋町小沢1435,0554-22-1036,,koizumi@sanyoseiko.co.jp,技術（電気・電子・機械）,機械設計,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328833/
山陽精工株式会社,,http://www.sanyoseiko.co.jp,山梨県,山梨県大月市猿橋町小沢1435,,,E-Mail：koizumi@sanyoseiko.co.jp,技術（電気・電子・機械）,機械設計,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328833/-tab__jd
大晃機械工業株式会社,,http://www.taiko-kk.com,山口県,山口県熊毛郡田布施町大字下田布施209－1,0820-52-3111,,saiyou@taiko-kk.com,技術（電気・電子・機械）,機械設計,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002381949/
エステック株式会社,,https://www.stc-jp.co.jp,島根県,島根県松江市東出雲町揖屋2797-3,0852-52-6100,,soumu@stc-jp.co.jp,技術（電気・電子・機械）,機械設計,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002508650/
株式会社ムジコ・クリエイト,,http://mujicocreate.co.jp/,青森県,青森県弘前市和泉一丁目3-1,0172-28-2727,,saiyo@mujicocreate.co.jp,販売・サービス,教育／スクール／研修／塾講師／専門学校／英会話学校,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002439963/
北陸コンピュータ・サービス株式会社,,https://www.hcs.co.jp/,富山県,富山県富山市婦中町島本郷47-4,076-495-9500,,saiyou@hcs.co.jp,エンジニア（IT・Web・ゲーム・通信）,業務系アプリケーションエンジニア・プログラマ,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002365687/
株式会社管理工学研究所,,https://www.kthree.co.jp/,東京都,東京都千代田区外神田2-2-2 関根ビル,076-265-4666,,saiyo_hokuriku@kthree.co.jp,エンジニア（IT・Web・ゲーム・通信）,業務系アプリケーションエンジニア・プログラマ,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002365723/
株式会社システムサポート,,https://career.sts-inc.co.jp/,石川県,石川県金沢市本町1-5-2 リファーレ9F,076-265-5151,,hsaiyo@sts-inc.co.jp,エンジニア（IT・Web・ゲーム・通信）,業務系アプリケーションエンジニア・プログラマ,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002365736/
株式会社ユーコム,,http://www.ucm.co.jp,石川県,石川県金沢市上堤町3-21 金沢野村證券ビル5階,076-261-8800,,kanazawa@ucm.co.jp,エンジニア（IT・Web・ゲーム・通信）,業務系アプリケーションエンジニア・プログラマ,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002373457/
株式会社エスツー,,https://www.esu2.co.jp/,秋田県,秋田県秋田市中通3-3-10 秋田スカイプラザ7F,,,recruit@esu2.co.jp,エンジニア（IT・Web・ゲーム・通信）,業務系アプリケーションエンジニア・プログラマ,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002477245/
株式会社ワコムアイティ,,https://www.wacom-it.co.jp/,島根県,島根県松江市北陵町43番地,,,info-wit@wacom-it.co.jp,エンジニア（IT・Web・ゲーム・通信）,業務系アプリケーションエンジニア・プログラマ,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002507387/
株式会社秋田銀行,,http://www.akita-bank.co.jp,秋田県,秋田県秋田市山王三丁目２番１号,018-863-1212,,saiyo@akita-bank.co.jp,営業,金融営業,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002477246/
株式会社東奥アドシステム,,http://tooads.co.jp,青森県,青森県青森市古川1丁目21番12号 セントラルビューあおもり 2階,017-776-3771,,m.masaaki-262@tooads.co.jp,営業,広告・メディア営業,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002477221/
株式会社ダイワ,,http://www.daiwaad.co.jp/,静岡県,静岡県静岡市駿河区小黒2-4-5,054-288-2221,,saiyou@daiwaad.co.jp,営業,広告・メディア営業,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002477270/
ユウアイ電子工業株式会社,,http://www.ui-denshi.co.jp,山梨県,山梨県甲州市塩山上於曽612番地,0553-32-0231,,h-uchida@ui-denshi.co.jp,企画・事務・マーケティング・管理,購買・物流・貿易,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328816/
ユウアイ電子工業株式会社,,http://www.ui-denshi.co.jp,山梨県,山梨県甲州市塩山上於曽612番地,0553-32-0231,,【e-mail】h-uchida@ui-denshi.co.jp,企画・事務・マーケティング・管理,購買・物流・貿易,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328816/-tab__jd
石川県/いしかわ移住・UIターン相談センター(ILAC),,https://ishikawa-note.jp/,石川県,石川県金沢市石引4-17-1本多の森庁舎１階,03-6734-1497,,support@ishikawa-note.jp,専門サービス,国家・地方公務員,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328762/
株式会社 奥羽木工所,,http://www.ohu.jp/,宮城県,宮城県仙台市宮城野区原町6-1-16,022-257-4155,,shibata@ohu.jp,技術（建築・土木）,施工管理,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002507367/
青森スバル自動車株式会社,,http://aomori-subaru.co.jp,青森県,青森県青森市原別6丁目10-1,017-736-3122,,saiyou@aomori-subaru.co.jp,営業,自動車・装置・機械製品営業,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002492711/
株式会社ハル研究所,,https://www.hallab.co.jp/,東京都,東京都千代田区神田須田町1-22,,,saiyo@hallab.co.jp,エンジニア（IT・Web・ゲーム・通信）,社内情報システム（社内SE）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002413672/
株式会社湖山亭うぶや,,http://www.ubuya.co.jp,山梨県,山梨県南都留郡富士河口湖町浅川10,0555-72-1145,,dot0628@ubuya.co.jp,販売・サービス,宿泊施設・ホテル,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002372339/
株式会社湖山亭うぶや,,http://www.ubuya.co.jp,山梨県,山梨県南都留郡富士河口湖町浅川10,0555-72-1145 e-mail：dot0628@ubuya.co.jp,,問い合わせ用連絡先：tel：0555-72-1145 e-mail：dot0628@ubuya.co.jp,販売・サービス,宿泊施設・ホテル,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002372339/-tab__jd
株式会社 河口湖第一ホテル,,http://kukuna.jp/,山梨県,山梨県 南都留郡 富士河口湖町 浅川70,0555-83-3333,,mizumoto@kukuna.jp,販売・サービス,宿泊施設・ホテル,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002372914/
株式会社 河口湖第一ホテル,,http://kukuna.jp/,山梨県,山梨県 南都留郡 富士河口湖町 浅川70,0555-83-3333 FAX:0555-83-3111,,問い合わせ用E-mail: mizumoto@kukuna.jp,販売・サービス,宿泊施設・ホテル,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002372914/-tab__jd
株式会社フロンティアポート,,http://www.fpcom.jp/,神奈川県,神奈川県横浜市港北区新横浜1-17-12 インテリックス新横浜ビル8階,045－534-7591,,saiyou@fpcom.jp,エンジニア（IT・Web・ゲーム・通信）,制御系ソフトウェア開発（通信・ネットワーク・IoT関連）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328810/
株式会社フロンティアポート,,http://www.fpcom.jp/,神奈川県,神奈川県横浜市港北区新横浜1-17-12 インテリックス新横浜ビル8階,045－534-7591,,メール：saiyou@fpcom.jp,エンジニア（IT・Web・ゲーム・通信）,制御系ソフトウェア開発（通信・ネットワーク・IoT関連）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328810/-tab__jd
株式会社ソフテック 八戸事業所,,http://www.softech.co.jp/,東京都,東京都新宿区四谷２－８ 第7新菱ビル,0178-20-3861,,info_recruit@softech.co.jp,エンジニア（IT・Web・ゲーム・通信）,制御系ソフトウェア開発（通信・ネットワーク・IoT関連）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002439997/
株式会社トライヤーン,,http://www.try-yn.co.jp/,東京都,東京都東大和市立野3-581,042-564-3311,,recruit@try-yn.co.jp,技術（電気・電子・機械）,製造（溶接・加工・組み立てなど）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328796/
株式会社トライヤーン,,http://www.try-yn.co.jp/,東京都,東京都東大和市立野3-581,042-564-3311（代表） E-mail：recruit@try-yn.co.jp,,問い合わせ用連絡先：042-564-3311（代表） E-mail：recruit@try-yn.co.jp,技術（電気・電子・機械）,製造（溶接・加工・組み立てなど）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328796/-tab__jd
株式会社 中野製作所,,http://nakanoss.co.jp/,石川県,石川県能美郡川北町田子島は42,076-277-2870,,ka-nakano@nakanoss.co.jp,技術（電気・電子・機械）,製造（溶接・加工・組み立てなど）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002373453/
株式会社 ファイブスター,,http://f-star.co.jp,滋賀県,滋賀県彦根市松原町1880番5,0749-22-1307,,takayama@f-star.co.jp,販売・サービス,店舗・販売,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002366170/
MiK株式会社（お箸バル ブルーチェ）,,http://www.mik-group.co.jp/,青森県,青森県青森市堤町2丁目1番3号 あおばビル7F,080-8224-5534,,contact@mik-group.co.jp,販売・サービス,店舗・販売,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002372323/
株式会社紫光製作所,,http://shikou-ss.com/,石川県,石川県金沢市北安江2丁目13-11,,,info@shikou.co.jp,技術（電気・電子・機械）,電気設計・シーケンス制御,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002365695/
株式会社テック・エンジニア,,http://sokuryoya.co.jp/,山梨県,山梨県大月市大月町花咲1677番地12,0554-22-7777,,info@sokuryoya.co.jp,技術（建築・土木）,土木設計・測量,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002413679/
株式会社コサカ技研,,http://www.kosakagiken.co.jp/,青森県,青森県八戸市大字長苗代字上碇田56-2,0178-27-3444,,kyujin-3444@kosakagiken.co.jp,技術（建築・土木）,土木設計・測量,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002477277/
株式会社サラダボウル,,http://www.salad-bowl.jp/,山梨県,山梨県中央市西花輪3684-3,055-273-2688,,kobayashi@salad-bowl.jp,専門サービス,農林水産関連職,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002350971/
株式会社サラダボウル,,http://www.salad-bowl.jp/,山梨県,山梨県中央市西花輪3684-3,055-273-2688（採用担当：小林）,,メールアドレス：kobayashi@salad-bowl.jp,専門サービス,農林水産関連職,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002350971/-tab__jd
株式会社やさしい手甲府,,http://www.yasashiite-kofu.co.jp/,山梨県,山梨県甲府市上石田1-7-14,055-236-6210,,jinji@yasashiite-kofu.co.jp,専門サービス,福祉,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328826/
株式会社やさしい手甲府,,http://www.yasashiite-kofu.co.jp/,山梨県,山梨県甲府市上石田1-7-14,055-236-6210,,mail : jinji@yasashiite-kofu.co.jp,専門サービス,福祉,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328826/-tab__jd
社会福祉法人緑樹会,,http://www.ryokuju.com,山梨県,山梨県北杜市明野町上手520,0551-25-2512,,admini@ryokuju.com,専門サービス,福祉,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328837/
社会福祉法人緑樹会,,http://www.ryokuju.com,山梨県,山梨県北杜市明野町上手520,,,TEL:0551-25-2512 /mail:admini@ryokuju.com,専門サービス,福祉,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328837/-tab__jd
社会福祉法人 三富福祉会,,http://park11.wakwak.com/~sirakaba/,山梨県,山梨県山梨市三富川浦2203 障害者支援施設 白樺園,0553-39-2714,,sano@mitomi.or.jp,専門サービス,福祉,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002369550/
社会福祉法人 三富福祉会,,http://park11.wakwak.com/~sirakaba/,山梨県,山梨県山梨市三富川浦2203 障害者支援施設 白樺園,,,(Eメール）sano@mitomi.or.jp,専門サービス,福祉,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002369550/-tab__jd
株式会社カニヤ,,http://www.yin.or.jp/user/kaniya/,山梨県,山梨県甲府市上阿原町228,055)233-4121,,kaniya@yin.or.jp,企画・事務・マーケティング・管理,役員・事業統括マネジャー,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002328783/
株式会社アンテックス,,http://www.antex.jp/,東京都,東京都江戸川区南小岩6-28-13 朝日ビル小岩3F,03-5612-0935,,E-mail：info@antex.jp,その他,その他,Doda,【CADの使用経験がない方も歓迎】CADを使用して空調・水廻りの配管といった空調・衛生設備の図面作成 具体的な仕事内容 専用のCADを使用してエアコンなどの空調や、 キッチンやトイレなどの水廻りの配管といった 衛生設備の図面作成をお任せします。 携われる物件は、駅ビルなどに併設される大型商業施設や リゾートホテル、大学、総合病院、大型オフィスビル、 工場といった都内大規模プロジェクトです。 東京の新名所にもなった日本一高い“あの電波塔”の 空調設備の図面も当社が担いました。 ★ 具体的な内容 ★ ■ 施工図の作成 ダクト図、配管図、スリーブ図、総合図など ■ 竣工図の作成 ■ 現場所長、設備担当者などとの打合せ ★ 依頼から納品までの流れ ★ ■ 電話にて依頼を請ける ▼ ■ 作図スタート ▼ ■ 作図中に浮かび上がった問題点を洗い出し、 所長と打ち合わせを重ね問題点を解消する ▼ ■ 修正 ▼ ■ 納品 ■□基礎を身につける教育プログラム 実際お仕事をするにあたり、1ヶ月間の教育プログラムを用意しています。そこで「業界について」、「空調、衛生について」、「CADの基本操作」を身につけていただきます。よりお客様に満足いただける図面が描ける技術者になるためには、図面に対して「ここはおかしいのでは？」「ここはもっとこうした方が良いのでは？」などの感覚を養うことがカギとなります。 チーム／組織構成 現在、事務所に勤務するCAD技術者は4名。 物件の大きさによって1人でお任せしたり、 チーム制を組む現場もあります。 また、現場事務所に出向しているCAD技術者は7名で、 事務所で勤務するメンバーと協力しています。 当社技術部の平均年齢は30.4歳と若い社員が多いため、 知識を吸収しあいながら、スキルを伸ばすことができる環境です。
日本システムウエア株式会社,,http://www.nsw.co.jp,東京都,東京都渋谷区桜丘町31-11,03-3464-3700／堀口,,E-mail：yhorigu1@gw.nsw.co.jp,その他,その他,Doda,【リーダー候補／東証一部】組み込みソフトウェア開発エンジニア（車載系) 具体的な仕事内容 ■業務内容 車載機器、車両制御装置の組込みソフトウェア開発を担当していただきます。 ■業務詳細 モデルベース開発およびAUTOSARを利用したECU開発・ADAS開発に注力していただきます。 ご経験・スキルに応じてプロジェクトを統率する技術リーダー業務もお任せいたします。 チーム／組織構成 30代リーダーが多数活躍中！ チーム編成は、数人から数十人単位となります。 チームでのお仕事となりますので、 困ったときには助け合いながら働くことができる環境です。
三井住友海上火災保険株式会社（MS&ADインシュアランスグループ）,,http://www.ms-ins.com/,東京都,東京都千代田区神田駿河台3-9,03-3259-1549,,E-mail:mitsuteru-yamada@ms-ins.com,その他,その他,Doda,◆経営者として独立を前提とした採用◆ｉｃとして損害保険・生命保険の提案営業※研修期間は通常3年 具体的な仕事内容 【ｉｃ（インシュアランス・コンサルタント）としての仕事】 顧客基盤を築くと同時に経営者としての能力を磨いていくのがｉｃのミッション。 3年の研修期間ではONJT・OFFJTを通して多様な知識やスキルを身に付けていきます。 入社1カ月目に全店研修を約1週間実施。基本的な心構えから 損害保険に関する基礎知識とセールスプロセスを習得します。 その後、実践的なOJT研修によりプロ代理店としての能力を身に付けていきます。 また、ビジネススクールにて経営について学ぶ機会もご提供します。 【保険代理店経営者としての仕事】 ｉｃ研修期間終了後は、三井住友海上の保険代理店の経営者として、 人材採用から教育、販売戦略支援、事業戦略の策定など 企業経営のあらゆるシーンに携わっていただきます。 独立後は経営者支援として以下を利用可能。 商品だけでなく営業ツールや手法なども三井住友海上が提供し、 しっかりと支援します。 ○各種中小企業開拓支援策 ○経営リスクアドバイス ○各種情報提供策・ツール 代理店には三井住友海上の担当者がつき、 経営・戦略・人材教育などサポートを実施します。 チーム／組織構成 ｉｃとして入社後は各支店に配属され研修をスタートします。 独立後は経営者として、働く仲間を募り、代理店経営を担っていただきます。 【独立後】仲間をつくる、ということ。 ｉｃ制度を利用して独立した方々が語るのが、仲間をつくることの重要性。 特に、独立してからはじめての採用は事業運営に大きな影響を与えるといいます。 1人目の社員は、いわばご自身の右腕ともいえる存在。 営業力はもちろん、仕事への向き合い方など 深い部分でつながるものがある方を採用されているようです。
有限会社協進電気,,,埼玉県,埼玉県吉川市吉川2-39-10,048-983-6366／090-3149-2223,,MAIL yukikazu.miyagi@gmail.com,その他,その他,Doda,◎電柱に架けられている電線の張り替え業務 具体的な仕事内容 4名以上体制で現場へ向かい、電線の張り替えを行います。 基本的には電柱にはしごを取り付け、上へと登って作業。 下にいるメンバーは材料の用意や片づけ、掃除を担当します。 高所作業車を使う場合もあり、落下防止などの安全対策には細心の注意を払っています。 【1日3現場程度に対応】 一つの現場での作業時間は、30分から3時間程度。 朝イチで場所や図面を確認した後は、 午前中に1現場、午後に2現場程度を回ります。 【その他】 ・歩行者の方への注意促進 ・作業現場の近所にあいさつ ・電柱に設置したメーターの交換作業 など ☆チーム制であんしん／研修も充実です わからないことがあればすぐに先輩社員に相談できるなど、 十分なサポートを受けられるため、未経験者の方でもすぐに慣れていただけます。 社員同士の仲もいいので、気兼ねなく質問・相談できますよ。 また、入社後、3カ月間はお客さま先の研修センターにて研修を行います。 高所の張り替え作業を行うのは技術習得後なので、 未経験スタートの方も安心して作業に取り組めます。 チーム／組織構成 30代～50代まで幅広い層が活躍中です。 みんな仲が良く年に1回一緒にスキーに行ったりもしますよ！
有限会社ツェナワークス,,http://www.zener.co.jp/,東京都,東京都目黒区大岡山1-31-9 3F,,,E-mail／job@zener.co.jp,その他,その他,Doda,3Dモデリングやモーションなどゲーム内のキャラクター・マップなど各種デザインを担当していただきます 具体的な仕事内容 「モデリング」（登場するキャラクターやアイテム、背景など）や 「モーション」（キャラクターの動作）など、 ゲーム内の3DCGデザインを手掛けていただきます。 ただ一つのパートを担当し続けるのではなく、あなたの経験・スキル・適正に応じて、 広い3D制作に携わっていただきます。 「屈強な戦士」「幼い魔法使いの女の子」「ファンタジー」「写実的な風景」など 自分の頭の中にあるものを様々な形で表現できる方であれば、 ゲーム業界での経験はもとより、デザイン業務の実務経験のない方でも歓迎いたします。 ※詳しくはお持ちいただいたポートフォリオを見ながら面接時にお話しさせていただきます。 【手を動かすだけではありません！】 全てのデザイン業務を自ら手掛けるだけではなく、 外部パートナーとの協業も積極的に行っていることから、 社内のQCや、ベンダーコントロールといった ディレクション業務にも携わっていただくことがあります。 あなたのこだわりを多くの人と共有し、 ユーザーを夢中にさせるおもしろいゲームを一緒につくりましょう！ 【開発環境】 3Dアニメーション、モデリングなどには「Maya」。 他にも「Adobe CC（Creative Cloud）シリーズ]など 必要な開発環境は整っています。 ポイント：普段からインプットを欠かさない 当社のデザイナーたちは、普段からインプットを欠かしません。 例えば、あるデザイナーは気になる画像があれば 常にストックしライブラリーとして保管しています。 「インプットなくして、アウトプットはなく、 アウトプットなくして、成長はない。」 頭の中にあるイメージを具現化するゲームデザイナーだからこそ、 普段からのインプットが欠かせません。 チーム／組織構成 ツェナワークスには、「全員で企画に関わろう」という考え方があり、 企画開発部という一つの部署しかありません。 その中で、企画やプログラム、デザインというセクションが分かれていますが、 普段の仕事やミーティングなどで、「こうした方が面白いんじゃないか」、 「この改造ならすぐできるからやってみよう」といった感じで 積極的に企画に参加し、面白いものを作ることを目指しています。
Ａｐｐｌｅ Ｊａｐａｎ合同会社,,http://www.apple.com/jobs/jp/,東京都,東京都港区六本木6丁目10番1号 六本木ヒルズ,,,E-mail／appleretail_jobs@apple.com,その他,その他,Doda,Apple Store 内 Genius Bar にて、お客様が抱える技術的な問題を迅速に解決します 具体的な仕事内容 Apple Store で、高いスキルを持つエキスパートとしてトラブルシューティングや 製品の修理を行い、お客様の Apple に対する信頼を維持します。 【具体的な役割】 ■問題が発生したら、迅速に解決する。 ■Genius Bar でカスタマーサポートの最前線に立ち、 Apple のハードウェアやソフトウェアのトラブルシューティングと診断、修理などを行う。 ■お客様や製品に関する複数の問題に同時に対応する。 ■できるだけ早く修理を完了させてお客様に返却する。 ■専門知識において頼りにされる Apple Store の主力メンバーになる。 ■カスタマーサービスに対する情熱を持ち、お客様の期待を超えられるように取り組む。 チーム／組織構成 製品に関して、チームメンバーを教育する役割もあります。 アドバイスや知識、時にはヒントやトレーニングも提供することで、 お客様からも同僚からも信頼される存在になります。
タマホーム株式会社 ◆東証一部上場,,http://www.tamahome.jp,東京都,東京都港区高輪3-22-9 タマホーム本社ビル,,,Mail／tamahome@job-entry.com,その他,その他,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3001543869/-tab__jd/
フジアルテ株式会社【フジグループ】,,http://www.fujiarte.co.jp,大阪府,大阪府大阪市港区磯路1-6-19 フジビル,046-281-8450,,Eメール：saiyou-eng@fujiarte.co.jp,その他,その他,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3001562464/-tab__jd/
株式会社日本情報開発,,http://www.jid-net.com/,東京都,東京都豊島区西池袋3丁目30番4号 K&Hビル5階,03-5956-4181,,Email： saiyo@jid-net.com,その他,その他,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3001571679//-tab__jd
